Function Name,Parameters,Source File,Line Number
GetQuestTextContrastValue,cvarValue,Blizzard_AccessibilityTemplates\QuestTextContrast.lua,3
QuestTextContrast.IsEnabled,cvarValue,Blizzard_AccessibilityTemplates\QuestTextContrast.lua,7
QuestTextContrast.UseLightText,cvarValue,Blizzard_AccessibilityTemplates\QuestTextContrast.lua,11
QuestTextContrast.GetBackgroundAtlas,questTextContrastSetting,Blizzard_AccessibilityTemplates\QuestTextContrast.lua,25
QuestTextContrast.GetDefaultBackgroundAtlas,,Blizzard_AccessibilityTemplates\QuestTextContrast.lua,33
QuestTextContrast.GetTextureKitBackgroundAtlas,textureKit,Blizzard_AccessibilityTemplates\QuestTextContrast.lua,37
QuestTextContrast.GetDefaultDetailsBackgroundAtlas,cvarValue,Blizzard_AccessibilityTemplates\QuestTextContrast.lua,58
TextSizeManagerBase:Init,,Blizzard_AccessibilityTemplates\TextSizeManager.lua,3
CVarChangedCB,"cvar, value",Blizzard_AccessibilityTemplates\TextSizeManager.lua,11
TextSizeManagerBase:BuildFonts,,Blizzard_AccessibilityTemplates\TextSizeManager.lua,19
TextSizeManagerBase:GetFonts,,Blizzard_AccessibilityTemplates\TextSizeManager.lua,32
TextSizeManagerBase:GetFontBaseHeight,fontName,Blizzard_AccessibilityTemplates\TextSizeManager.lua,36
TextSizeManagerBase:GetResizedFontHeight,"fontName, value",Blizzard_AccessibilityTemplates\TextSizeManager.lua,48
TextSizeManagerBase:SetTextScale,scale,Blizzard_AccessibilityTemplates\TextSizeManager.lua,52
TextSizeManagerBase:UpdateFonts,value,Blizzard_AccessibilityTemplates\TextSizeManager.lua,63
TextSizeManagerBase:GetMinimumScale,,Blizzard_AccessibilityTemplates\TextSizeManager.lua,68
TextSizeManagerBase:GetScale,scale,Blizzard_AccessibilityTemplates\TextSizeManager.lua,72
TextSizeManagerBase:GetDefaultScaleWeight,,Blizzard_AccessibilityTemplates\TextSizeManager.lua,76
TextSizeManagerBase:SetMinimumScale,scale,Blizzard_AccessibilityTemplates\TextSizeManager.lua,80
TextSizeManagerBase:SetCVarName,name,Blizzard_AccessibilityTemplates\TextSizeManager.lua,85
TextSizeManagerBase:GetCVarName,,Blizzard_AccessibilityTemplates\TextSizeManager.lua,89
TextSizeManagerBase:GetSettingValue,,Blizzard_AccessibilityTemplates\TextSizeManager.lua,93
TextSizeManagerBase:SetSettingValue,value,Blizzard_AccessibilityTemplates\TextSizeManager.lua,97
GetScaleWeight,"manager, registrationInfo",Blizzard_AccessibilityTemplates\TextSizeManager.lua,101
TextSizeManagerBase:GetWeightedScale,"scale, registrationInfo",Blizzard_AccessibilityTemplates\TextSizeManager.lua,109
TextSizeManagerBase:GetScaledValue,value,Blizzard_AccessibilityTemplates\TextSizeManager.lua,115
TextSizeManagerBase:GetScaledValueWeighted,"value, registrationInfo",Blizzard_AccessibilityTemplates\TextSizeManager.lua,119
TextSizeManagerBase:UpdateRegisteredObjects,scale,Blizzard_AccessibilityTemplates\TextSizeManager.lua,123
TextSizeManagerBase:UpdateRegisteredSystems,scale,Blizzard_AccessibilityTemplates\TextSizeManager.lua,129
TextSizeManagerBase:RegisterObject,"object, registrationInfo",Blizzard_AccessibilityTemplates\TextSizeManager.lua,133
TextSizeManagerBase:UpdateObject,object,Blizzard_AccessibilityTemplates\TextSizeManager.lua,137
TextSizeManager:GetInitialUpdateEvents,,Blizzard_AccessibilityTemplates\TextSizeManagerGame.lua,3
UserScaledElementMixin:OnLoad_UserScaledElement,,Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,3
UserScaledElementMixin:UpdateWidth,,Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,7
UserScaledElementMixin:GetWeightedScale,"scaleContext, scale, registrationInfo",Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,11
UserScaledElementMixin:GetScaledDesiredDimension,"scaleContext, dimensionValue, scale, registrationInfo",Blizzard_AccessibilityTemplates\UserScaledElementTemplates.lua,23
